timestamp,controlpriority sentbytes,maxpriority_1_sentbytes,maxpriority_2_sentbytes,lowpriority_sentbytes
23:15:47.589,1065,,,
23:15:47.631,,259,,
23:15:47.632,822,,,
23:15:47.634,1065,,,
23:15:47.782,822,,,
23:15:47.786,1065,,,
23:15:47.831,,259,,
23:15:47.831,822,,,
23:15:47.833,1065,,,
23:15:47.984,822,,,
23:15:47.988,1065,,,
23:15:48.032,,259,,
23:15:48.033,822,,,
23:15:48.036,1065,,,
23:15:48.183,822,,,
23:15:48.187,1065,,,
23:15:48.232,,259,,
23:15:48.232,822,,,
23:15:48.234,1065,,,
23:15:48.386,822,,,
23:15:48.390,1065,,,
23:15:48.431,,259,,
23:15:48.432,822,,,
23:15:48.433,1065,,,
23:15:48.586,822,,,
23:15:48.588,1065,,,
23:15:48.632,,259,,
23:15:48.633,822,,,
23:15:48.635,1065,,,
23:15:48.784,822,,,
23:15:48.786,1065,,,
23:15:48.831,,259,,
23:15:48.832,822,,,
23:15:48.833,1065,,,
23:15:48.981,822,,,
23:15:48.983,1065,,,
23:15:49.032,,259,,
23:15:49.033,822,,,
23:15:49.037,1065,,,
23:15:49.184,822,,,
23:15:49.185,1065,,,
23:15:49.231,,259,,
23:15:49.231,822,,,
23:15:49.233,1065,,,
23:15:49.387,822,,,
23:15:49.389,1065,,,
23:15:49.431,,259,,
23:15:49.431,822,,,
23:15:49.434,1065,,,
23:15:49.584,822,,,
23:15:49.586,1065,,,
23:15:49.631,,259,,
23:15:49.632,822,,,
23:15:49.633,1065,,,
23:15:49.786,822,,,
23:15:49.788,1065,,,
23:15:49.831,,259,,
23:15:49.831,822,,,
23:15:49.833,1065,,,
23:15:49.984,822,,,
23:15:49.987,1065,,,
23:15:50.032,,259,,
23:15:50.033,822,,,
23:15:50.034,1065,,,
23:15:50.183,822,,,
23:15:50.187,1065,,,
23:15:50.231,,259,,
23:15:50.231,822,,,
23:15:50.233,1065,,,
23:15:50.388,822,,,
23:15:50.390,1065,,,
23:15:50.431,,259,,
23:15:50.432,822,,,
23:15:50.435,1065,,,
23:15:50.582,822,,,
23:15:50.587,1065,,,
23:15:50.631,,259,,
23:15:50.632,822,,,
23:15:50.635,1065,,,
23:15:50.787,822,,,
23:15:50.789,1065,,,
23:15:50.831,,259,,
23:15:50.832,822,,,
23:15:50.834,1065,,,
23:15:50.985,822,,,
23:15:50.987,1065,,,
23:15:51.031,,259,,
23:15:51.032,822,,,
23:15:51.036,1065,,,
23:15:51.202,822,,,
23:15:51.203,1065,,,
23:15:51.232,,259,,
23:15:51.232,822,,,
23:15:51.234,1065,,,
23:15:51.363,3247,,,
23:15:51.384,822,,,
23:15:51.392,1065,,,
23:15:51.432,,259,,
23:15:51.432,822,,,
23:15:51.434,1065,,,
23:15:51.583,822,,,
23:15:51.586,1065,,,
23:15:51.631,,259,,
23:15:51.632,822,,,
23:15:51.634,1065,,,
23:15:51.782,822,,,
23:15:51.801,1065,,,
23:15:51.833,,259,,
23:15:51.834,822,,,
23:15:51.835,1065,,,
23:15:51.983,822,,,
23:15:51.986,1065,,,
23:15:52.031,,259,,
23:15:52.032,822,,,
23:15:52.035,1065,,,
23:15:52.186,822,,,
23:15:52.187,1065,,,
23:15:52.232,,259,,
23:15:52.233,822,,,
23:15:52.235,1065,,,
23:15:52.387,822,,,
23:15:52.390,1065,,,
23:15:52.433,,259,,
23:15:52.433,822,,,
23:15:52.435,1065,,,
23:15:52.585,822,,,
23:15:52.587,1065,,,
23:15:52.631,,259,,
23:15:52.631,822,,,
23:15:52.632,1065,,,
23:15:52.783,822,,,
23:15:52.785,1065,,,
23:15:52.831,,259,,
23:15:52.831,822,,,
23:15:52.833,1065,,,
23:15:52.983,822,,,
23:15:52.986,1065,,,
23:15:53.030,,259,,
23:15:53.031,822,,,
23:15:53.033,1065,,,
23:15:53.183,822,,,
23:15:53.187,1065,,,
23:15:53.231,,259,,
23:15:53.231,822,,,
23:15:53.233,1065,,,
23:15:53.386,822,,,
23:15:53.387,1065,,,
23:15:53.432,,259,,
23:15:53.432,822,,,
23:15:53.434,1065,,,
23:15:53.610,822,,,
23:15:53.612,1065,,,
23:15:53.634,,259,,
23:15:53.641,822,,,
23:15:53.645,1065,,,
23:15:53.785,822,,,
23:15:53.787,1065,,,
23:15:53.831,,259,,
23:15:53.832,822,,,
